Rank,Tier %
Challenger,0.00015%
GrandMaster,0.0015%
Master,0.074%
Diamond,1.9%
Emerald,6.0%
Platinum,9.4%
Gold,14%
Silver,20%
Bronze,20%
Iron,27%
